OriginalOrderInBatch,ExternalSampleID,Skull length,Weight,Length,Basename,Age,ConfidenceInAgeEstimate,CanBeUsedForAgingStudies,SpeciesLatinName,SpeciesCommonName,Tissue,Female,Folder,PlateNumber,WellAddress,PlateName,DNA.Concentration,DNA.Volume,AnimalID,Outlier,Sex,TeethClass,AgeInMonths,Trapping.year,Location,ClusteringBranch,TissueColor,ClusteringColor,predictedFemale,errorFemale,predictedTissue,TailLiverIndicator,FetusIndicator,branchSNP,branchSNP.dist,branchSNP.cor,ConfirmedBySNP,DNAmAgeBasedOnRelativeAge,DNAmAgeBasedOnLogliAge,train,DNAmAgebasedOnAll,AgeAccelbasedOnAll,AgeAccelinTestbasedOnAll,DNAmAgeLOO,AgeAccelLOO
28,LI004L,16.78,4,50,205483080024_R04C01,1.083333333,90,yes,Sorex cinereus,Cinereus shrew,Liver,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,D04,ET0029-CF0021,48.8,20,LI004,,M,4,13,2020,Long Island Nova Scotia,2,blue,blue,0,0,Liver,0,0,2,6,5,no but age and sex are correct,0.910537705,2.235652687,1,1.06937283,0.102909596,NA,1.140233564,0.217135622
29,LI005L,17.14,4,44,205483080024_R05C01,1.25,90,yes,Sorex cinereus,Cinereus shrew,Liver,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,E04,ET0029-CF0021,43.6,20,LI005,,M,4,15,2020,Long Island Nova Scotia,2,blue,blue,0,0,Liver,0,0,0,19,0,yes,0.654467049,1.67113551,1,1.036942633,-0.056670752,NA,0.875005507,-0.160073961
30,SC1T,18.88,5.6,65,205483080024_R06C01,0.375,90,yes,Sorex cinereus,Cinereus shrew,Tail,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,F04,ET0029-CF0021,83.2,20,S.C. 1,,M,2,4.5,2020,Lakefeild Ontario,3,brown,green,0,0,Tail,1,0,12,20,7,yes,0.244702842,0.249726368,1,0.420153093,-0.005922,NA,0.438602839,-0.008573619
31,SC2T,18.95,5.1,53,205483080024_R01C02,0.166666667,90,yes,Sorex cinereus,Cinereus shrew,Tail,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,G04,ET0029-CF0021,93,20,S.C. 2,,M,1,2,2020,Lakefeild Ontario,3,brown,green,0,0,Tail,1,0,13,13,0,,0.182603602,0.148498401,1,0.273528805,0.006391399,NA,0.27056951,-0.036630042
32,SC3T,19.14,7.5,69,205483080024_R02C02,1.083333333,90,yes,Sorex cinereus,Cinereus shrew,Tail,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,H04,ET0029-CF0021,93.7,20,S.C. 3,,M,4,13,2020,Lakefeild Ontario,3,brown,green,0,0,Tail,1,0,13,13,0,,0.605793576,0.855892613,1,0.819074971,-0.147388263,NA,0.627208226,-0.295889716
33,SC4T,18.95,6.1,54,205483080024_R03C02,0.333333333,90,yes,Sorex cinereus,Cinereus shrew,Tail,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,A05,ET0029-CF0021,81.9,20,S.C. 4,,M,2,4,2020,Lakefeild Ontario,3,brown,green,0,0,Tail,1,0,12,21,0,,0.346409357,0.348504588,1,0.385133552,0.054421072,NA,0.412919141,0.049728827
34,SC5T,19.42,6.5,58,205483080024_R04C02,0.333333333,90,yes,Sorex cinereus,Cinereus shrew,Tail,0,N90.2021-9098CinereusShrewAaronShafer,Plate 01,B05,ET0029-CF0021,92.5,20,S.C. 5,,M,2,4,2020,Lakefeild Ontario,3,brown,green,0,0,Tail,1,0,8,7,8,yes,0.331464634,0.30605567,1,0.402784396,0.00849684,NA,0.42582206,0.006640984
35,SC6T,18.96,5.9,59,205483080024_R05C02,0.375,90,yes,Sorex cinereus,Cinereus shrew,Tail,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,C05,ET0029-CF0021,87.7,20,S.C. 6,,F,2,4.5,2020,Lakefeild Ontario,3,brown,green,1,0,Tail,1,0,0,22,0,,0.330410949,0.291564696,1,0.460595457,0.034520364,NA,0.475245086,0.028068628
36,SC001T,19.17,7,56,205483080024_R06C02,0.375,90,yes,Sorex cinereus,Cinereus shrew,Tail,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,D05,ET0029-CF0021,67.9,20,SC001,,F,2,4.5,2020,Sandy Cove Nova Scotia,3,brown,green,1,0,Tail,1,0,0,8,0,yes,0.35367745,0.181572342,1,0.438547604,0.01247251,NA,0.486892156,0.039715698
37,SC002T,19.4,5,59,205483080010_R01C01,0.25,90,yes,Sorex cinereus,Cinereus shrew,Tail,1,N90.2021-9098CinereusShrewAaronShafer,Plate 01,E05,ET0029-CF0021,71.2,20,SC002,,F,2,3,2020,Sandy Cove Nova Scotia,3,brown,green,1,0,Tail,1,0,9,9,9,yes,0.366129324,0.240096631,1,0.314059318,-0.112015776,NA,0.265995354,-0.181181104
