sample_id,roost_site,latitude_s,longitude_e,researchers_present,net_date,net_open_time,net_close_time,exit_count,capture_time,processing_date,sampling_session,processing_time_start,processing_time_end,weather,bat_species,duplicated_sampleid,barcode_id,recap,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,fed_bananas_before,bat_weight_g,body_length_cm,bat_forearm_mm,bat_tibia_mm,ear_length_mm,gonad_length_mm,gonad_width_mm,hair_y_n,wing_punch,bat_flies,meglastreblidae,fleas,mites,ticks,t_star,urine_vial,feces_vial,throat_vial,eppendorf_vol_ul,serum_aliquots_num,rbc_aliquots_num,buffy_coat_aliquots_num,rna_protect_vol_ul,slides_thin_num,slides_thick_num,filter_y_n,toothwear,temperature_f,notes,check_notes_y_n,performed_necropsy,spleen_rna_preserve,liver_rna_preserve,kidney_rna_preserve,brain_rna_preserve,spleen_plain,liver_plain,kidney_plain,brain_plain,liver_aluminum,kidney_aluminum,gonads_aluminum,brain_aluminum,intestines_aluminum,teeth_num,tooth_type
KEL286,Angavokely_Edup,-18.9327,47.7578,"CB, AA, FR, AG, KR",NA,NA,NA,NA,NA,2019-02-05,60,NA,NA,NA,Eidolon dupreanum,,9.56E+14,yes,female,J,yes,no,NA,NA,unknown,195,19.8,117.12,53.02,25.71,small,small,yes,1,2,NA,NA,1,NA,NA,0,1,1,400,NA,NA,NA,200,2,1,yes,new,98.4 (22:22),"ring number 867, pit tagged on 11/20/2022, replaced barcode_id, sample_id KEL685",NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL286B,Angavokely_Edup,-18.9327,47.7578,"KR, AG, AA, FR, CR",NA,NA,NA,NA,NA,2019-03-15,63,NA,NA,NA,Eidolon dupreanum,,1007,no,female,NL,no,no,NA,NA,unknown,115,22.3,133.7,62,30.8,8.7,6.9,yes,1,NA,NA,NA,NA,NA,NA,0,1,1,150,NA,NA,NA,100,2,1,yes,moderate,100.5 (14:48),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL293B,Angavokely_Edup,-18.9327,47.7578,"KR, AG, AA, FR, CR",NA,NA,NA,NA,NA,2019-03-15,63,NA,NA,NA,Eidolon dupreanum,,232,yes,female,NL,no,no,NA,NA,unknown,300,25,127.5,80.5,25.4,8.7,7,yes,1,NA,NA,NA,NA,NA,NA,0,1,1,200,NA,NA,NA,200,2,1,yes,moderate,96.8 (13:27),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL294,Angavokely_Edup,-18.9327,47.7578,"CB, AA, FR, AG, KR",NA,NA,NA,NA,NA,2019-02-06,60,NA,NA,NA,Eidolon dupreanum,,9.56E+14,yes,male,A,no,no,NA,NA,unknown,331,26.4,131.14,62.95,25.52,16.75,15.77,yes,1,NA,NA,NA,NA,NA,NA,1,1,1,400,NA,NA,NA,200,2,1,yes,moderate,101.8 (9:13),Band # 844. PIT tagged on 9/30/2022 as KEL649,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL306,Angavokely_Edup,-18.9327,47.7578,"KR, AG, AA, FR, CR",NA,NA,NA,NA,NA,2019-04-23,66,NA,NA,NA,Eidolon dupreanum,,1640,no,female,NL,NA,no,NA,NA,unknown,325,24.5,132.1,63.5,33.3,9.1,6.3,yes,1,0,0,0,2,0,NA,1,1,1,300,NA,NA,NA,300,2,1,yes,mild,"96.6 (18:59), 97.6 (19:17)",2nd finger bone broken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL44,Angavokely_Edup,-18.9327,47.7578,"CB, CR, MR",NA,NA,NA,NA,NA,2014-10-08,13,NA,NA,NA,Eidolon dupreanum,,9.56E+14,yes,male,A,NA,NA,NA,NA,unknown,320,20.6,127.4,64.4,28.2,6.7,9,yes,NA,0,NA,0,1,NA,NA,0,2,2,700,NA,NA,NA,NA,2,1,yes,heavy,98.2 (17:45); 100.2 (17:53),"Fed sugar water and release at night, Band number 338 silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL45,Angavokely_Edup,-18.9327,47.7578,"CB, CR, MR",NA,NA,NA,NA,NA,2014-10-08,13,NA,NA,NA,Eidolon dupreanum,,339,NA,male,A,NA,NA,NA,NA,unknown,340,20.2,129.7,59.8,33.9,5.9,9.2,yes,NA,1,NA,0,1,NA,NA,2,2,2,700,NA,NA,NA,NA,2,1,yes,mild,100.1 (18:05); 100.4 (18:12); 102.5 (18:19),Fed sugar water and release at night,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL466B,Angavokely_Edup,-18.9327,47.7578,"AA, AS, FR",NA,NA,NA,NA,NA,2020-02-02,91,NA,NA,NA,Eidolon dupreanum,y,9.56E+14,no,female,NL,no,no,NA,NA,unknown,320,19.6,137,65,20.5,8,4.5,yes,1,0,0,0,0,0,NA,1,1,1,550,NA,NA,NA,200,2,1,yes,mild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL47,Angavokely_Edup,-18.9327,47.7578,"CB, CR, MR",NA,NA,NA,NA,NA,2014-10-08,13,NA,NA,NA,Eidolon dupreanum,,9.56E+14,yes,male,A,NA,NA,NA,NA,unknown,330,21.5,124.1,60.1,24.9,7.9,12.2,yes,NA,2,NA,0,2,NA,NA,2,2,2,800,NA,NA,NA,NA,2,1,yes,moderate,98.4 (16:41); 99.6 (18:47); 101.1 (18:55),Fed sugar water and release at night,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEL48,Angavokely_Edup,-18.9327,47.7578,"CB, CR, MR",NA,NA,NA,NA,NA,2014-10-08,13,NA,NA,NA,Eidolon dupreanum,,342,NA,male,A,NA,NA,NA,NA,unknown,320,21.5,126.8,59.2,20.2,8.1,10.7,yes,NA,3,NA,0,4,NA,NA,0,2,2,800,NA,NA,NA,NA,2,1,yes,moderate,101.1 (19:04); 102 (19:20),Fed sugar water and release at night,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
