"sampleid","age","tooth_type","species","cc","published","publication","notes","collection_date"
"AMB92",3,"lower left premolar","Pteropus_rufus","A","yes","Brook et al. 2019","age from 1 tooth",2016-01-17
"AMB93",1,"lower left premolar","Pteropus_rufus","B","yes","Brook et al. 2019","age from 1 tooth",2016-01-17
"AND1",2,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2014-08-01
"AND14",5,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2014-08-03
"AND2",2.5,"multiple","Eidolon_dupreanum","B","yes","Brook et al. 2019","age inferred from multiple teeth",2014-08-01
"AND20",6,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2014-08-03
"AND28",3,"lower left premolar","Eidolon_dupreanum","C","yes","Brook et al. 2019","age from 1 tooth",2014-10-14
"AND29",8,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2014-10-14
"AND3",4,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2014-08-01
"AND30",4,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2014-10-16
"AND31",10,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2014-10-16
"AND32",8,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2014-10-17
"AND33",3,"lower left premolar","Eidolon_dupreanum","C","yes","Brook et al. 2019","age from 1 tooth",2014-10-17
"AND34",10,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2014-10-18
"AND35",3,"lower left premolar","Eidolon_dupreanum","C","yes","Brook et al. 2019","age from 1 tooth",2014-10-18
"AND36",6,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2015-03-30
"AND37",3,"lower left premolar","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2015-03-30
"AND38",13,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2015-03-30
"AND4",4.5,"multiple","Eidolon_dupreanum","B","yes","Brook et al. 2019","age inferred from multiple teeth",2014-08-01
"AND40",7,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2015-03-31
"AND42",5,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-08-08
"AND43",6,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-08-09
"ANDH2",2,"multiple","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from multiple teeth",2015-04-02
"ANG130",2,"upper right canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",NA
"ANGB10",0.5,"multiple","Eidolon_dupreanum","A","yes","Brook et al. 2019","age inferred from multiple teeth",2013-11-23
"ANGB11",2,"upper left canine","Eidolon_dupreanum","A","yes","Brook et al. 2019","age from 1 tooth",2013-11-23
"ANGB111",1,"lower left premolar","Eidolon_dupreanum","B","yes","Brook et al. 2019","age from 1 tooth",2016-01-08
